layer_index,k,candidate_count,discovery_gate_pass_count,heldout_confirmed_count,short_confirmed_count,long_confirmed_count
10,32,24,24,16,8,8
10,64,24,24,12,4,8
17,32,24,24,9,3,6
17,64,24,24,13,5,8
23,32,24,24,4,4,0
23,64,24,24,12,6,6
