condition,mode,strength,n,correct,accuracy,total_generated_tokens,mean_output_tokens,mean_correct_output_tokens,correct_usable_per_million_tokens,mean_modified_token_fraction,mean_delta_to_hidden_norm_fraction,maximum_delta_to_hidden_norm_fraction
long_feature_suppress__a_0p25,long_suppress,0.25,24,23,0.9583333333333334,6237,259.875,248.91304347826087,3687.6703543370213,0.5545884382106915,0.008642751552066372,0.053910933434963226
long_feature_suppress__a_0p5,long_suppress,0.5,24,22,0.9166666666666666,6458,269.0833333333333,247.0,3406.6274388355528,0.5701722443189329,0.017984564779943275,0.11006306111812592
long_feature_suppress__a_1p0,long_suppress,1.0,24,23,0.9583333333333334,6468,269.5,258.95652173913044,3555.9678416821275,0.5680883671528665,0.0355507371248989,0.1503625512123108
no_steering,none,0.0,24,23,0.9583333333333334,6231,259.625,248.65217391304347,3691.221312790884,0.0,0.0,0.0
short_feature_enhance__a_1p0,short_enhance,1.0,24,23,0.9583333333333334,6283,261.7916666666667,250.91304347826087,3660.6716536686295,1.0,0.013056230938621918,0.017519613727927208
short_feature_enhance__a_2p0,short_enhance,2.0,24,22,0.9166666666666666,6444,268.5,246.36363636363637,3414.028553693358,1.0,0.02624052717826511,0.03505736589431763
short_feature_enhance__a_4p0,short_enhance,4.0,24,23,0.9583333333333334,6387,266.125,255.43478260869566,3601.064662595898,1.0,0.05241579667486313,0.06987650692462921
