left_condition,right_condition,left_slot,right_slot,left_feature_id,right_feature_id,left_direction,right_direction,decoder_cosine,test_trace_activation_correlation,mutual_nearest_neighbor,same_direction,stable_match
full_token_uniform,prefix64_trace_balanced,23,17,24176,27266,long,long,0.3186098533696867,0.6146233995368616,True,True,False
full_trace_balanced,prefix64_trace_balanced,0,23,11983,27872,short,long,0.03923818833186527,-0.4413083450637876,False,False,False
full_trace_balanced,prefix64_trace_balanced,1,17,2645,27266,short,long,0.04819692799499044,-0.20065244195091533,False,False,False
full_trace_balanced,prefix64_trace_balanced,2,15,987,4321,short,long,0.04099952425473541,-0.429533635470732,False,False,False
full_trace_balanced,prefix64_trace_balanced,3,17,24148,27266,short,long,0.04062452944674843,-0.20452072961199116,False,False,False
full_trace_balanced,prefix64_trace_balanced,4,8,10702,3270,short,short,0.038641297580310346,0.1741293489951734,False,True,False
full_trace_balanced,prefix64_trace_balanced,5,17,493,27266,short,long,0.03663627515064308,-0.1952738291840514,False,False,False
full_trace_balanced,prefix64_trace_balanced,6,3,22025,15720,short,short,0.047401829908540735,0.3129226986537073,False,True,False
full_trace_balanced,prefix64_trace_balanced,7,13,12175,20387,short,long,0.030225511118000526,-0.244933009647608,False,False,False
full_trace_balanced,prefix64_trace_balanced,8,7,26001,23849,short,short,0.03924035390297907,0.1400725416990275,False,True,False
full_trace_balanced,prefix64_trace_balanced,9,20,12890,2699,short,long,0.039989196743708585,-0.4109428713824231,True,False,False
full_trace_balanced,prefix64_trace_balanced,10,21,22686,26606,short,long,0.04104634756053699,-0.36432300573908366,False,False,False
full_trace_balanced,prefix64_trace_balanced,11,8,14905,3270,short,short,0.040547979620875765,0.16376615335968114,False,True,False
full_trace_balanced,prefix64_trace_balanced,12,13,10498,20387,long,long,0.2328430999102111,0.6208190701744692,False,True,False
full_trace_balanced,prefix64_trace_balanced,13,17,5834,27266,long,long,0.09921085169349209,0.3188338644174281,True,True,False
full_trace_balanced,prefix64_trace_balanced,14,21,26606,26606,long,long,0.7446504341027125,0.894740190581877,True,True,True
full_trace_balanced,prefix64_trace_balanced,15,19,15767,15417,long,long,0.052669833290534096,0.45177928893578023,False,True,False
full_trace_balanced,prefix64_trace_balanced,16,17,13341,27266,long,long,0.07206324588000121,0.4144612844826811,False,True,False
full_trace_balanced,prefix64_trace_balanced,17,14,7975,27659,long,long,0.17624969762323267,0.1580144561705461,True,True,False
full_trace_balanced,prefix64_trace_balanced,18,13,804,20387,long,long,0.2232007341308038,0.3114133122641271,False,True,False
full_trace_balanced,prefix64_trace_balanced,19,12,20088,5447,long,long,0.10261622032804217,0.5647468808131988,True,True,False
full_trace_balanced,prefix64_trace_balanced,20,13,8597,20387,long,long,0.12302728761366512,0.19171283888429758,False,True,False
full_trace_balanced,prefix64_trace_balanced,21,14,6477,27659,long,long,0.1664633665770847,0.14842286631892346,False,True,False
full_trace_balanced,prefix64_trace_balanced,22,13,12593,20387,long,long,0.2933500962986416,0.5423212254345201,True,True,False
full_trace_balanced,prefix64_trace_balanced,23,14,5992,27659,long,long,0.06888801771736063,-0.10836123832502739,False,True,False
