condition,feature_id,direction,confirmed,analysis_length_label,rank,token_id,token_text,activation_mass,within_label_mass_share
full_token_uniform,3240,short,False,long,12,382,.\n\n,58.1015625,0.0027448385262095723
full_token_uniform,3240,short,False,long,13,18,3,55.265625,0.0026108629466729213
full_token_uniform,3240,short,False,long,14,21806, Answer,54.625,0.002580598490689435
full_token_uniform,3240,short,False,long,15,16,1,48.609375,0.002296407867429872
full_token_uniform,3240,short,False,long,16,374, is,43.3828125,0.0020494941960524076
full_token_uniform,3240,short,False,long,17,4226, answer,40.40625,0.0019088751993486498
full_token_uniform,3240,short,False,long,18,16302, pounds,37.046875,0.0017501713448011015
full_token_uniform,3240,short,False,long,19,4115, hours,35.734375,0.001688166117908106
full_token_uniform,3240,short,False,long,20,4420, minutes,28.8046875,0.0013607932830623495
full_token_uniform,26100,short,True,short,1,16141,Answer,4867.125,0.5418758888226878
full_token_uniform,26100,short,True,short,2,25,:,4084.2890625,0.4547197300153519
full_token_uniform,26100,short,True,short,3,21806, Answer,7.75,0.0008628375351723718
full_token_uniform,26100,short,True,short,4,220, ,5.9140625,0.0006584354981103683
full_token_uniform,26100,short,True,short,5,18,3,3.90625,0.0004348979511957519
full_token_uniform,26100,short,True,short,6,17,2,2.890625,0.0003218244838848564
full_token_uniform,26100,short,True,short,7,279, the,2.640625,0.0002939910150083283
full_token_uniform,26100,short,True,short,8,10788, bought,2.03125,0.000226146934621791
full_token_uniform,26100,short,True,short,9,6771, Let,1.9765625,0.00022005836330505046
full_token_uniform,26100,short,True,short,10,400, $,1.8125,0.0002017926493548289
full_token_uniform,26100,short,True,short,11,315, of,1.65625,0.00018439673130699882
full_token_uniform,26100,short,True,long,1,16141,Answer,4901.8125,0.5417414969745531
full_token_uniform,26100,short,True,long,2,25,:,4037.7578125,0.44624737518304647
full_token_uniform,26100,short,True,long,3,21806, Answer,19.34375,0.002137844334539828
full_token_uniform,26100,short,True,long,4,374, is,10.59375,0.0011708065095460448
full_token_uniform,26100,short,True,long,5,510,:\n,9.328125,0.0010309313955737297
full_token_uniform,26100,short,True,long,6,92,},6.3125,0.000697648716602658
full_token_uniform,26100,short,True,long,7,1124, \,5.5703125,0.0006156231868040781
full_token_uniform,26100,short,True,long,8,220, ,4.9140625,0.0005430953499295444
full_token_uniform,26100,short,True,long,9,15136,times,4.6640625,0.0005154656977868649
full_token_uniform,26100,short,True,long,10,1372, number,3.8984375,0.00043084988809990885
full_token_uniform,26100,short,True,long,11,400, $,3.8671875,0.0004273961815820739
full_token_uniform,26100,short,True,long,12,18,3,3.6875,0.00040753736910452296
full_token_uniform,26100,short,True,long,13,21,6,3.6484375,0.0004032202359572293
full_token_uniform,26100,short,True,long,14,4226, answer,2.921875,0.00032292155941756695
full_token_uniform,26100,short,True,long,15,594,'s,2.46875,0.00027284281490896027
full_token_uniform,26100,short,True,long,16,23,8,2.40625,0.0002659354018732904
full_token_uniform,26100,short,True,long,17,3253,eral,2.34375,0.0002590279888376205
full_token_uniform,26100,short,True,long,18,24190, grave,2.265625,0.0002503937225430332
full_token_uniform,26100,short,True,long,19,17,2,2.1875,0.00024175945624844584
full_token_uniform,26100,short,True,long,20,23018, gram,2.0,0.0002210372171414362
full_token_uniform,24326,short,False,short,1,16141,Answer,4936.5,0.6369298600184061
full_token_uniform,24326,short,False,short,2,25,:,2740.7109375,0.35361908918723584
full_token_uniform,24326,short,False,short,3,74216, Calculation,10.609375,0.0013688701982442577
full_token_uniform,24326,short,False,short,4,21806, Answer,9.5625,0.0012337975866354722
full_token_uniform,24326,short,False,short,5,15,0,8.59375,0.0011088050206691335
full_token_uniform,24326,short,False,short,6,16,1,6.0234375,0.0007771715190326382
full_token_uniform,24326,short,False,short,7,8039, budget,5.421875,0.0006995551675857988
full_token_uniform,24326,short,False,short,8,320, (,4.84375,0.0006249628298316934
full_token_uniform,24326,short,False,short,9,4226, answer,4.84375,0.0006249628298316934
full_token_uniform,24326,short,False,short,10,220, ,3.9765625,0.0005130743232005354
full_token_uniform,24326,short,False,short,11,624,.\n,3.078125,0.00039715379831239874
full_token_uniform,24326,short,False,short,12,501, new,2.28125,0.00029433733275944276
full_token_uniform,24326,short,False,short,13,315, of,2.125,0.0002741772414745494
full_token_uniform,24326,short,False,short,14,59,\,1.9921875,0.00025704116388239003
full_token_uniform,24326,short,False,short,15,20,5,1.9375,0.0002499851319326774
full_token_uniform,24326,short,False,short,16,284, =,1.828125,0.00023587306803325204
full_token_uniform,24326,short,False,short,17,2106,irt,1.7734375,0.0002288170360835394
